,title,location,id,timestamp,user_name,user_url,description,user_type,exp_level,edu_level,emp_level,salary
0,مطــلوب لـواء شــرطه او عمــــيد بالمعـــاش,العاصمة الإدارية الجديدة، القاهرة,181755548,"تم إضافة الإعلان في 01:51 م, 6 سبتمبر 2021, ",محمد,https://www.olx.com.eg/ads/user/87ccp/,مطلوب لواء شرطه او عميد بالمعاش للعمل الامني و الادارى بشركه بمدينه نصر التقدم بشهاده الخبره الصادره من وزاره الداخليه الاتصال علي 010 - أظهر الرقم - ,,بكالوريوس,١-٣ سنوات,دوام كامل,
1,مطلوب افراد امن للعمل بالتجمع الخامس,مصر الجديدة، القاهرة,181860988,"تم إضافة الإعلان في 06:43 م, 9 سبتمبر 2021, ",ولاء,https://www.olx.com.eg/ads/user/7lAIy/,مطلوب للتعين فوراً افراد امن مؤهلات متوسطه للعمل بكمبوند سكنى بالتجمع الخامس  السن من 25 الى 35 سنه الطول لا يقل عن 175سم يوجد سكن للمغتربين لا يوجد رسوم توظيف التعين من الشركة مباشرة  للتواصل واتساب وفون 011 - أظهر الرقم - ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"3,700"
2,ابحث عن عمل امن وحراسه ٨ ساعات,شبرا، القاهرة,181902514,"تم إضافة الإعلان في 06:18 م, 10 سبتمبر 2021, ",عبدالستار هشام,https://www.olx.com.eg/ads/user/7Gat5/,ابحث عن عمل امن وحراسه8 ساعات طالب ٢٠ سنه ,باحث عن عمل,طالب,١-٣ سنوات,دوام كامل,"2,500"
3,مطلوب افراد امن بمدينه نصر,مدينة نصر، القاهرة,177680825,"تم إضافة الإعلان في 06:17 م, 10 سبتمبر 2021, ",Captain  Essam Fayed,https://www.olx.com.eg/ads/user/6R2ST/,مطلوب افراد امن للعمل ورديه ليليه من ٧ م إلى ٧ صباحا بمقر اداره شركه بمنطقه مكرم عبيد. ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"2,400"
4,مطلوب شغل من بعد الساعه ٤,باكوس، الإسكندرية,181901173,"تم إضافة الإعلان في 05:39 م, 10 سبتمبر 2021, ",محمد,https://www.olx.com.eg/ads/user/7N6ck/,عايز شغل من بعد الساعه ٤ عشان شغل اصبح ضروري وربنا يوفقك الجميع ,باحث عن عمل,دبلوم,حديث التخرج,دوام جزئي,
5,وظائف خاليه,وسط القاهرة، القاهرة,181900916,"تم إضافة الإعلان في 05:31 م, 10 سبتمبر 2021, ",هشام,https://www.olx.com.eg/ads/user/85hMV/,ََ*مطلوب افراد امن للعمل بالمواقع التاليه نقبل الطلاب السن من 19الى 50 سنه* *للعمل بالمناطق التاليه* مطلوب أفراد أمن بأكتوبر 8ساعات راتب مجزي  ومتاح نظام التطبيق براتب أعلى  وسكن و4اجازه ومواصلات من السكن للمواقع _ مطلوب أفراد أمن بشركه بالمعادي راتب مجزي ويوم اجازه كل اسبوع _مطلوب أفراد أمن للعمل فورا بمركز صيانه بالكيلو 26 طريق مصر إسكندرية الصحراوي براتب مجزي جدا  ومواصلات من الرمايه _مطلوب أفراد أمن بمركز صيانه بالكيلو 4.5  راتب مجزي  ويوم اجازه كل اسبوع يشترط جسم لائق كفرد امن ومؤهل السن من 25 الي 45سنه مطلوب افراد _بمصانع باكتوبر براتب يبدا من مجزي  ومتاح سكن ومواصلات و4اجازه مطلوب أفراد أمن بشبرامنت براتب مجزي ويوم اجازه كل اسبوع مميزات الشركه سكن مميز للأفراد تأمينات صحيه واجتماعيه الزي بالكامل من الشركه و ونقبل الطلاب العمل 12ساعه و4اجازه بجميع المواقع ,رب عمل,طالب,حديث التخرج,دوام كامل,"4,000"
6,ابحث عن وظيفه مشرف امن ومعي دوره كندي من دبي ودوره بريطاني من قطر,"سيدي بشر, الإسكندرية",181885231,"تم إضافة الإعلان في 05:13 م, 10 سبتمبر 2021, ",مشرف امن,https://www.olx.com.eg/ads/user/7PFSg/,مشرف امن ومعي دورات ,باحث عن عمل,دبلوم,٥-١٠ سنوات,دوام جزئي,
7,البحث عن عمل,الزقازيق، الشرقية,181884891,"تم إضافة الإعلان في 04:40 م, 10 سبتمبر 2021, ",عبدالسلام رشاد عبدالحميد عبدالكريم,https://www.olx.com.eg/ads/user/89rpP/,باحث عن عمل مشرف امن . قوات مسلحه بالمعاش خبره ومؤهل فى المجال الأمنى والادارى ,باحث عن عمل,دبلوم,أكثر من ١٠ سنوات,دوام كامل,"5,000"
8,باحث عن عمل,العبور، القاهرة,181884443,"تم إضافة الإعلان في 04:32 م, 10 سبتمبر 2021, ",ام آسر,https://www.olx.com.eg/ads/user/7PrqM/,عمرو يحيى من مدينه العبور متزوج وأعول ٢٨ سنه خريج سياحه وفنادق ابحث عن وظيفه حارس وسائق أيضا ولدي الخبره الكافيه في مجالات الحراسه اكثر من ٣ سنوات بالعبور كما ع درايه كامله بجميع الطرق واحمل رخصه مهنيه درجه ثالثه ورخصه خاصه أيضا     الطول، ١٧٨ الوزن، ٨٥ المميزات، لباقه، حسن المظهر، آمين، قليل الكلام، غير مدخن ,,دبلوم,١-٣ سنوات,دوام كامل,
9,شباب وبنات وظائف شاغرة مطلوب افراد امن للعمل في مواقع مختلفه في القاهر,أسيوط الجديدة، أسيوط,181895930,"تم إضافة الإعلان في 03:12 م, 10 سبتمبر 2021, ",رولا,https://www.olx.com.eg/ads/user/7VYSG/,شباب وبنات وظائف شاغرة مطلوب افراد امن للعمل في مواقع مختلفه في القاهره السن لا يقل عن 20 سنه توفر سكن مواصلات تأمين صحي وإجتماعي المتواجدين داخل القاهرة عليه التوجه الي الشركة مباشره لعمل hr المحافظات تواصل اتصال هاتفي ٠١٢٧٨٩٧٣٤٠٤ ,رب عمل,دبلوم,حديث التخرج,دوام كامل,"7,000"
